tamano;obstaculos;repeticion;algoritmo;tiempoMs;nodosVisitados;longitudRuta;maxColaPila;memoriaAprox
10;10%;1;BFS;0.0845;90;18;9;99
10;10%;1;DFS;1.3964;19;18;15;34
10;10%;2;BFS;0.0972;90;18;11;101
10;10%;2;DFS;0.0275;23;20;14;37
10;10%;3;BFS;0.0957;90;18;9;99
10;10%;3;DFS;0.0425;25;18;15;40
10;10%;4;BFS;0.0764;90;18;9;99
10;10%;4;DFS;0.0386;24;20;15;39
10;10%;5;BFS;0.0349;90;18;10;100
10;10%;5;DFS;0.0171;24;20;15;39
10;10%;6;BFS;0.0346;89;18;9;98
10;10%;6;DFS;0.0172;23;20;15;38
10;10%;7;BFS;0.0395;90;18;12;102
10;10%;7;DFS;0.0139;21;20;14;35
10;10%;8;BFS;0.0349;90;18;10;100
10;10%;8;DFS;0.016;23;18;14;37
10;10%;9;BFS;0.0375;89;18;9;98
10;10%;9;DFS;0.0153;21;20;15;36
10;10%;10;BFS;0.0443;90;18;10;100
10;10%;10;DFS;0.0393;23;20;14;37
10;10%;11;BFS;0.0332;90;18;10;100
10;10%;11;DFS;0.0288;25;22;17;42
10;10%;12;BFS;0.0336;90;18;9;99
10;10%;12;DFS;0.0147;25;18;14;39
10;10%;13;BFS;0.0323;90;18;10;100
10;10%;13;DFS;0.0132;21;20;13;34
10;10%;14;BFS;0.0322;90;18;10;100
10;10%;14;DFS;0.0245;38;36;23;61
10;10%;15;BFS;0.0276;90;18;11;101
10;10%;15;DFS;0.0133;25;24;14;39
10;10%;16;BFS;0.0274;90;18;9;99
10;10%;16;DFS;0.0149;29;20;13;42
10;10%;17;BFS;0.0273;90;18;12;102
10;10%;17;DFS;0.015;21;20;12;33
10;10%;18;BFS;0.0314;90;18;11;101
10;10%;18;DFS;0.0217;40;38;28;68
10;10%;19;BFS;0.0314;90;18;9;99
10;10%;19;DFS;0.0129;21;20;13;34
10;10%;20;BFS;0.0283;90;18;10;100
10;10%;20;DFS;0.012;21;20;16;37
10;10%;21;BFS;0.0278;90;18;10;100
10;10%;21;DFS;0.0157;21;20;16;37
10;10%;22;BFS;0.0318;90;18;10;100
10;10%;22;DFS;0.0119;26;22;16;42
10;10%;23;BFS;0.0307;90;18;10;100
10;10%;23;DFS;0.0088;19;18;14;33
10;10%;24;BFS;0.0305;90;18;10;100
10;10%;24;DFS;0.0128;19;18;15;34
10;10%;25;BFS;0.0306;90;18;10;100
10;10%;25;DFS;0.0097;19;18;15;34
10;10%;26;BFS;0.0318;90;18;12;102
10;10%;26;DFS;0.0102;21;20;17;38
10;10%;27;BFS;0.0296;90;18;10;100
10;10%;27;DFS;0.0086;20;18;16;36
10;10%;28;BFS;0.0349;90;18;12;102
10;10%;28;DFS;0.0116;23;20;16;39
10;10%;29;BFS;0.0293;86;18;8;94
10;10%;29;DFS;0.0111;23;22;16;39
10;10%;30;BFS;0.0296;86;18;8;94
10;10%;30;DFS;0.0113;23;22;16;39
10;20%;1;BFS;0.0434;79;18;9;88
10;20%;1;DFS;0.0143;24;22;16;40
10;20%;2;BFS;0.03;80;18;9;89
10;20%;2;DFS;0.0119;22;20;13;35
10;20%;3;BFS;0.0325;80;18;10;90
10;20%;3;DFS;0.0121;25;18;14;39
10;20%;4;BFS;0.0271;76;18;9;85
10;20%;4;DFS;0.0123;27;24;13;40
10;20%;5;BFS;0.0279;79;18;9;88
10;20%;5;DFS;0.012;26;22;12;38
10;20%;6;BFS;0.0306;79;18;9;88
10;20%;6;DFS;0.0135;26;22;12;38
10;20%;7;BFS;0.0323;67;18;9;76
10;20%;7;DFS;0.0219;48;38;19;67
10;20%;8;BFS;0.0288;79;18;10;89
10;20%;8;DFS;0.0226;37;30;20;57
10;20%;9;BFS;0.0275;79;18;10;89
10;20%;9;DFS;0.0168;37;30;20;57
10;20%;10;BFS;0.0285;80;18;10;90
10;20%;10;DFS;0.012;25;22;12;37
10;20%;11;BFS;0.0279;80;18;10;90
10;20%;11;DFS;0.011;24;20;11;35
10;20%;12;BFS;0.0278;80;18;10;90
10;20%;12;DFS;0.0111;24;20;11;35
10;20%;13;BFS;0.0278;80;18;10;90
10;20%;13;DFS;0.0117;24;20;11;35
10;20%;14;BFS;0.0275;78;18;8;86
